 brot botao antese frutoi frutom RainH Rain Rain1 Rain2 Rain3 TempH Temp Temp1 Temp2 Temp3 SIRH SIR SIR1 SIR2 SIR3 DL DL1 DL2 DL3
setembro15 22.80 2.94 2.21 10.29 23.53 2.175511813 2.112939976 1.414973348 2.277609214 1.916453949 1.198657087 1.25774477 1.240613664 1.174819202 1.173050217 3.067442843 3.067517202 3.10720997 2.933841463 2.953663064 1.075546961 1.049218023 1.029383778 1.021189299
outubro15 48.53 36.03 5.15 5.88 14.71 2.195899652 2.392169149 2.112939976 1.414973348 2.277609214 1.245512668 1.266959647 1.25774477 1.240613664 1.174819202 3.087532976 3.009068276 3.067517202 3.10720997 2.933841463 1.103803721 1.075546961 1.049218023 1.029383778
novembro15 26.47 54.90 16.18 11.76 11.03 2.110926242 2.382377303 2.392169149 2.112939976 1.414973348 1.276461804 1.28477652 1.266959647 1.25774477 1.240613664 3.142170386 2.970811611 3.009068276 3.067517202 3.10720997 1.123851641 1.103803721 1.075546961 1.049218023
dezembro15 19.86 71.32 27.74 13.98 8.09 2.202215776 2.414137362 2.382377303 2.392169149 2.112939976 1.303196057 1.352182518 1.28477652 1.266959647 1.25774477 3.136117843 3.065990289 2.970811611 3.009068276 3.067517202 1.136720567 1.123851641 1.103803721 1.075546961
janeiro16 17.50 5.15 16.18 61.77 10.29 2.372727941 2.215637563 2.414137362 2.382377303 2.392169149 1.324282455 1.328379603 1.352182518 1.28477652 1.266959647 3.119519818 3.10720997 3.065990289 2.970811611 3.009068276 1.130333768 1.136720567 1.123851641 1.103803721
fevereiro16 11.03 0.74 0.74 52.94 15.45 2.264581729 2.47099817 2.215637563 2.414137362 2.382377303 1.33243846 1.348304863 1.328379603 1.352182518 1.28477652 3.13213156 3.067517202 3.143888758 3.065990289 2.970811611 1.11058971 1.130333768 1.136720567 1.123851641
marco16 22.06 0.74 0.00 50.00 11.77 2.167317335 1.967547976 2.47099817 2.215637563 2.414137362 1.307496038 1.318063335 1.348304863 1.328379603 1.352182518 3.09673626 3.009068276 3.075035726 3.143888758 3.065990289 1.086359831 1.11058971 1.130333768 1.136720567
abril16 3.68 3.68 0.74 42.65 10.29 1.974050903 2.154423973 1.967547976 2.47099817 2.215637563 1.264817823 1.326335861 1.318063335 1.348304863 1.328379603 3.053654558 2.970811611 3.083538451 3.075035726 3.143888758 1.06069784 1.086359831 1.11058971 1.130333768
maio16 12.26 4.41 2.45 12.74 33.33 1.882524538 2.1532049 2.154423973 1.967547976 2.47099817 1.184691431 1.178976947 1.326335861 1.318063335 1.348304863 2.972063916 3.065990289 3.144636468 3.083538451 3.075035726 1.033423755 1.06069784 1.086359831 1.11058971
junho16 2.21 4.41 1.47 1.47 37.50 2.048441804 2.116939647 2.1532049 2.154423973 1.967547976 1.155336037 1.075546961 1.178976947 1.326335861 1.318063335 2.963646186 2.975431809 2.922102367 3.144636468 3.083538451 1.021189299 1.033423755 1.06069784 1.086359831
julho16 0.74 1.47 0.00 0.00 43.36 2.050379756 2.068556895 2.116939647 2.1532049 2.154423973 1.139879086 1.152288344 1.075546961 1.178976947 1.326335861 3.002813779 3.026859986 2.975431809 2.922102367 3.144636468 1.029383778 1.021189299 1.033423755 1.06069784
agosto16 0.00 4.41 0.00 0.00 38.24 1.911157609 2.236285277 2.068556895 2.116939647 2.1532049 1.178976947 1.170261715 1.152288344 1.075546961 1.178976947 3.075656434 3.051576958 3.026859986 2.975431809 2.922102367 1.049218023 1.029383778 1.021189299 1.033423755
setembro16 8.09 4.41 0.00 0.00 25.74 2.175511813 1.977723605 2.236285277 2.068556895 2.116939647 1.198657087 1.190331698 1.170261715 1.152288344 1.075546961 3.067442843 3.154667378 3.051576958 3.026859986 2.975431809 1.075546961 1.049218023 1.029383778 1.021189299
outubro16 31.37 8.73 3.43 0.49 10.30 2.195899652 2.23578087 1.977723605 2.236285277 2.068556895 1.245512668 1.23299611 1.190331698 1.170261715 1.152288344 3.087532976 3.058122216 3.154667378 3.051576958 3.026859986 1.103803721 1.075546961 1.049218023 1.029383778
novembro16 28.68 58.82 8.09 0.00 1.47 2.110926242 2.011570444 2.23578087 1.977723605 2.236285277 1.276461804 1.269512944 1.23299611 1.190331698 1.170261715 3.142170386 3.13522809 3.058122216 3.154667378 3.051576958 1.123851641 1.103803721 1.075546961 1.049218023
dezembro16 19.12 47.06 25.00 0.00 0.00 2.202215776 1.880813592 2.011570444 2.23578087 1.977723605 1.303196057 1.326335861 1.269512944 1.23299611 1.190331698 3.136117843 3.092475013 3.13522809 3.058122216 3.154667378 1.136720567 1.123851641 1.103803721 1.075546961
janeiro17 12.50 16.18 19.12 60.30 0.00 2.372727941 2.281033367 1.880813592 2.011570444 2.23578087 1.324282455 1.354108439 1.326335861 1.269512944 1.23299611 3.119519818 3.102090526 3.092475013 3.13522809 3.058122216 1.130333768 1.136720567 1.123851641 1.103803721
fevereiro17 10.29 2.21 2.21 70.59 2.94 2.264581729 1.938019097 2.281033367 1.880813592 2.011570444 1.33243846 1.378397901 1.354108439 1.326335861 1.269512944 3.13213156 3.191283301 3.102090526 3.092475013 3.13522809 1.11058971 1.130333768 1.136720567 1.123851641
marco17 13.24 1.47 0.00 68.39 6.62 2.167317335 1.602059991 1.938019097 2.281033367 1.880813592 1.307496038 1.315970345 1.378397901 1.354108439 1.326335861 3.09673626 3.052501563 3.191283301 3.102090526 3.092475013 1.049218023 1.11058971 1.130333768 1.136720567
abril17 5.15 0.00 1.47 64.71 19.12 1.974050903 1.838849091 1.602059991 1.938019097 2.281033367 1.264817823 1.269512944 1.315970345 1.378397901 1.354108439 3.053654558 3.089109943 3.052501563 3.191283301 3.102090526 1.06069784 1.049218023 1.11058971 1.130333768
maio17 5.88 5.10 2.58 14.19 47.94 1.882524538 1.944975908 1.838849091 1.602059991 1.938019097 1.184691431 1.225309282 1.269512944 1.315970345 1.378397901 2.972063916 2.928067959 3.089109943 3.052501563 3.191283301 1.033423755 1.06069784 1.049218023 1.11058971
