months angles FOM_Fl Barigui_Fl Ligustrum_Fl FOM_Fr Barigui_Fr Ligustrum_Fr
Jan 0 33.33 41.67 70.05 47.11 63.16 14.94
Feb 30 28.07 33.33 16.47 55.37 42.11 19.41
Mar 60 14.91 29.17 2.65 45.45 47.37 21.67
Apr 90 8.77 29.17 2.94 32.23 42.11 47.19
May 120 7.89 25 8.48 27.27 36.84 82.68
Jun 150 6.14 33.33 14.87 18.18 31.58 90.13
Jul 180 4.39 25 7.29 9.09 26.32 90.03
Aug 210 7.89 37.5 4.9 5.79 36.84 90.13
Sep 240 27.19 54.17 6.63 4.96 42.11 65.07
Oct 270 52.63 70.83 10.53 4.13 42.11 51.49
Nov 300 59.65 62.5 25.91 7.44 42.11 24.28
Dec 330 50.88 54.17 57.06 8.26 78.95 13.7
